market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
coinbase-btc-usd-spot,2022-01-01T00:00:00.000000000Z,46211.24,46656.85,46744.99,46205,46432.85757100862,822.31631024,38182496.111691262161651000843747,25812
coinbase-btc-usd-spot,2022-01-01T01:00:00.000000000Z,46656.85,46780.85,46931,46573.65,46790.30536392579,686.07385399,32101605.130397538216937649878274,24428
coinbase-btc-usd-spot,2022-01-01T02:00:00.000000000Z,46778,46808.55,46929.2,46728.5,46827.02359020048,433.37379104,20293604.73640469200389560941744,21048
coinbase-btc-usd-spot,2022-01-01T03:00:00.000000000Z,46808.55,46804.01,46895.06,46757.45,46833.0868972756,354.24451222,16590364.023682267527944061848371,15651
coinbase-btc-usd-spot,2022-01-01T04:00:00.000000000Z,46804,46701.28,46872.86,46621.59,46733.45526798613,495.42676441,23153004.533117835204978600285976,15193
coinbase-btc-usd-spot,2022-01-01T05:00:00.000000000Z,46696.45,47188,47548.53,46668.64,47183.03943583713,642.63840159,30321633.045204309563313985262502,19161
coinbase-btc-usd-spot,2022-01-01T06:00:00.000000000Z,47188,46976.98,47327.89,46944.81,47155.55067907011,380.56047962,17945538.98317213708097774058137,13858
coinbase-btc-usd-spot,2022-01-01T07:00:00.000000000Z,46982.82,47200.01,47251.76,46903.5,47037.60917205149,298.90128256,14059601.71008221050513177713867,10818
coinbase-btc-usd-spot,2022-01-01T08:00:00.000000000Z,47200.14,47119.93,47347.54,47087.17,47206.8909446842,215.98324574,10195897.527527108402769717364132,9984
coinbase-btc-usd-spot,2022-01-01T09:00:00.000000000Z,47124.07,47139.67,47212.89,46938.37,47069.32219389943,137.01504693,6449205.389360420502677047911556,8111
coinbase-btc-usd-spot,2022-01-01T10:00:00.000000000Z,47139.66,46863.78,47299.79,46722.71,46965.90283490432,267.99629024,12586687.727526657409334829263737,10606
coinbase-btc-usd-spot,2022-01-01T11:00:00.000000000Z,46863.79,46756.63,47000,46205,46724.3640180043,490.03927819,22896773.617269635503863942169812,9001
coinbase-btc-usd-spot,2022-01-01T12:00:00.000000000Z,46754.97,47085.01,47155.28,46754.97,47002.7142863698,137.75219026,6474726.841112432800657995662689,8515
coinbase-btc-usd-spot,2022-01-01T13:00:00.000000000Z,47085.01,47023.9,47206.01,46950.75,47067.43857038425,153.96634482,7246801.476721950704110891416466,9926
coinbase-btc-usd-spot,2022-01-01T14:00:00.000000000Z,47023.89,46926.45,47115.48,46855.69,46975.89271219118,202.86323425,9529681.527376105585028597457982,11641
coinbase-btc-usd-spot,2022-01-01T15:00:00.000000000Z,46926.42,47231,47486.85,46872.46,47225.51430945194,517.2656672,24428137.168141802896670623511209,16024
coinbase-btc-usd-spot,2022-01-01T16:00:00.000000000Z,47231,47302.78,47549.69,47202.18,47406.35636279054,714.76515328,33884411.572096285422439879739276,16685
coinbase-btc-usd-spot,2022-01-01T17:00:00.000000000Z,47301.52,47769.78,47967.12,47260.55,47598.47680180664,518.79278746,24693746.458859416088544910496218,20503
coinbase-btc-usd-spot,2022-01-01T18:00:00.000000000Z,47769.78,47578.42,47850,47436.76,47622.95394627479,381.57847244,18171894.019900007097494790735804,17243
coinbase-btc-usd-spot,2022-01-01T19:00:00.000000000Z,47577.44,47347.76,47634.98,47305.71,47416.99439689107,335.73703623,15919641.165746724616698981183505,16706
